012025	北海道	函館市
012033	北海道	小樽市
012041	北海道	旭川市
012050	北海道	室蘭市
012068	北海道	釧路市
012076	北海道	帯広市
012084	北海道	北見市
012092	北海道	夕張市
012106	北海道	岩見沢市
012114	北海道	網走市
012122	北海道	留萌市
012131	北海道	苫小牧市
012149	北海道	稚内市
012157	北海道	美唄市
012165	北海道	芦別市
012173	北海道	江別市
012181	北海道	赤平市
012190	北海道	紋別市
012203	北海道	士別市
012211	北海道	名寄市
012220	北海道	三笠市
012238	北海道	根室市
012246	北海道	千歳市
012254	北海道	滝川市
012262	北海道	砂川市
012271	北海道	歌志内市
012289	北海道	深川市
012297	北海道	富良野市
012301	北海道	登別市
012319	北海道	恵庭市
012335	北海道	伊達市
012343	北海道	北広島市
012351	北海道	石狩市
012360	北海道	北斗市
022012	青森県	青森市
022021	青森県	弘前市
022039	青森県	八戸市
022047	青森県	黒石市
022055	青森県	五所川原市
022063	青森県	十和田市
022071	青森県	三沢市
022080	青森県	むつ市
022098	青森県	つがる市
022101	青森県	平川市
032018	岩手県	盛岡市
032026	岩手県	宮古市
032034	岩手県	大船渡市
032051	岩手県	花巻市
032069	岩手県	北上市
032077	岩手県	久慈市
032085	岩手県	遠野市
032093	岩手県	一関市
032107	岩手県	陸前高田市
032115	岩手県	釜石市
032131	岩手県	二戸市
032140	岩手県	八幡平市
032158	岩手県	奥州市
032166	岩手県	滝沢市
042021	宮城県	石巻市
042030	宮城県	塩竈市
042056	宮城県	気仙沼市
042064	宮城県	白石市
042072	宮城県	名取市
042081	宮城県	角田市
042099	宮城県	多賀城市
042111	宮城県	岩沼市
042129	宮城県	登米市
042137	宮城県	栗原市
042145	宮城県	東松島市
042153	宮城県	大崎市
042161	宮城県	富谷市
052019	秋田県	秋田市
052027	秋田県	能代市
052035	秋田県	横手市
052043	秋田県	大館市
052060	秋田県	男鹿市
052078	秋田県	湯沢市
052094	秋田県	鹿角市
052108	秋田県	由利本荘市
052116	秋田県	潟上市
052124	秋田県	大仙市
052132	秋田県	北秋田市
052141	秋田県	にかほ市
052159	秋田県	仙北市
062014	山形県	山形市
062022	山形県	米沢市
062031	山形県	鶴岡市
062049	山形県	酒田市
062057	山形県	新庄市
062065	山形県	寒河江市
062073	山形県	上山市
062081	山形県	村山市
062090	山形県	長井市
062103	山形県	天童市
062111	山形県	東根市
062120	山形県	尾花沢市
062138	山形県	南陽市
072010	福島県	福島市
072028	福島県	会津若松市
072036	福島県	郡山市
072044	福島県	いわき市
072052	福島県	白河市
072079	福島県	須賀川市
072087	福島県	喜多方市
072095	福島県	相馬市
072109	福島県	二本松市
072117	福島県	田村市
072125	福島県	南相馬市
072133	福島県	伊達市
072141	福島県	本宮市
082015	茨城県	水戸市
082023	茨城県	日立市
082031	茨城県	土浦市
082040	茨城県	古河市
082058	茨城県	石岡市
082074	茨城県	結城市
082082	茨城県	龍ケ崎市
082104	茨城県	下妻市
082112	茨城県	常総市
082121	茨城県	常陸太田市
082147	茨城県	高萩市
082155	茨城県	北茨城市
082163	茨城県	笠間市
082171	茨城県	取手市
082198	茨城県	牛久市
082201	茨城県	つくば市
082210	茨城県	ひたちなか市
082228	茨城県	鹿嶋市
082236	茨城県	潮来市
082244	茨城県	守谷市
082252	茨城県	常陸大宮市
082261	茨城県	那珂市
082279	茨城県	筑西市
082287	茨城県	坂東市
082295	茨城県	稲敷市
082309	茨城県	かすみがうら市
082317	茨城県	桜川市
082325	茨城県	神栖市
082333	茨城県	行方市
082341	茨城県	鉾田市
082350	茨城県	つくばみらい市
082368	茨城県	小美玉市
092011	栃木県	宇都宮市
