013030	北海道	石狩郡当別町
013048	北海道	石狩郡新篠津村
013315	北海道	松前郡松前町
013323	北海道	松前郡福島町
013331	北海道	上磯郡知内町
013340	北海道	上磯郡木古内町
013374	北海道	亀田郡七飯町
013439	北海道	茅部郡鹿部町
013455	北海道	茅部郡森町
013463	北海道	二海郡八雲町
013471	北海道	山越郡長万部町
013617	北海道	檜山郡江差町
013625	北海道	檜山郡上ノ国町
013633	北海道	檜山郡厚沢部町
013641	北海道	爾志郡乙部町
013676	北海道	奥尻郡奥尻町
013706	北海道	瀬棚郡今金町
013714	北海道	久遠郡せたな町
013919	北海道	島牧郡島牧村
013927	北海道	寿都郡寿都町
013935	北海道	寿都郡黒松内町
013943	北海道	磯谷郡蘭越町
013951	北海道	虻田郡ニセコ町
013960	北海道	虻田郡真狩村
013978	北海道	虻田郡留寿都村
013986	北海道	虻田郡喜茂別町
013994	北海道	虻田郡京極町
014001	北海道	虻田郡倶知安町
014010	北海道	岩内郡共和町
014028	北海道	岩内郡岩内町
014036	北海道	古宇郡泊村
014044	北海道	古宇郡神恵内村
014052	北海道	積丹郡積丹町
014061	北海道	古平郡古平町
014079	北海道	余市郡仁木町
014087	北海道	余市郡余市町
014095	北海道	余市郡赤井川村
014231	北海道	空知郡南幌町
014249	北海道	空知郡奈井江町
014257	北海道	空知郡上砂川町
014273	北海道	夕張郡由仁町
014281	北海道	夕張郡長沼町
014290	北海道	夕張郡栗山町
014303	北海道	樺戸郡月形町
014311	北海道	樺戸郡浦臼町
014320	北海道	樺戸郡新十津川町
014338	北海道	雨竜郡妹背牛町
014346	北海道	雨竜郡秩父別町
014362	北海道	雨竜郡雨竜町
014371	北海道	雨竜郡北竜町
014389	北海道	雨竜郡沼田町
014524	北海道	上川郡鷹栖町
014532	北海道	上川郡東神楽町
014541	北海道	上川郡当麻町
014559	北海道	上川郡比布町
014567	北海道	上川郡愛別町
014575	北海道	上川郡上川町
014583	北海道	上川郡東川町
014591	北海道	上川郡美瑛町
014605	北海道	空知郡上富良野町
014613	北海道	空知郡中富良野町
014621	北海道	空知郡南富良野町
014630	北海道	勇払郡占冠村
014648	北海道	上川郡和寒町
014656	北海道	上川郡剣淵町
014681	北海道	上川郡下川町
014699	北海道	中川郡美深町
014702	北海道	中川郡音威子府村
014711	北海道	中川郡中川町
014729	北海道	雨竜郡幌加内町
014818	北海道	増毛郡増毛町
014826	北海道	留萌郡小平町
014834	北海道	苫前郡苫前町
014842	北海道	苫前郡羽幌町
014851	北海道	苫前郡初山別村
014869	北海道	天塩郡遠別町
014877	北海道	天塩郡天塩町
015113	北海道	宗谷郡猿払村
015121	北海道	枝幸郡浜頓別町
015130	北海道	枝幸郡中頓別町
015148	北海道	枝幸郡枝幸町
015164	北海道	天塩郡豊富町
015172	北海道	礼文郡礼文町
015181	北海道	利尻郡利尻町
015199	北海道	利尻郡利尻富士町
015202	北海道	天塩郡幌延町
015431	北海道	網走郡美幌町
015440	北海道	網走郡津別町
015458	北海道	斜里郡斜里町
015466	北海道	斜里郡清里町
015474	北海道	斜里郡小清水町
015491	北海道	常呂郡訓子府町
015504	北海道	常呂郡置戸町
015521	北海道	常呂郡佐呂間町
015555	北海道	紋別郡遠軽町
015598	北海道	紋別郡湧別町
015601	北海道	紋別郡滝上町
015610	北海道	紋別郡興部町
015628	北海道	紋別郡西興部村
015636	北海道	紋別郡雄武町
015644	北海道	網走郡大空町
015717	北海道	虻田郡豊浦町
015750	北海道	有珠郡壮瞥町
